epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
64,1.0,-1.0,-1.0,-1.0,0.0833333358168602,0.5357142686843872,0.6382661461830139,-1.0,0.9826037883758545,-1.0,-1.0,-1.0,-1.0,0.03846153989434242,-1.0,0.9711343050003052,-1.0,1.0,-1.0,-1.0,65.61891174316406
65,1.0,-1.0,-1.0,-1.0,0.10000000149011612,0.5370370149612427,0.5867398977279663,-1.0,0.9859873056411743,-1.0,-1.0,-1.0,-1.0,0.05263157933950424,-1.0,0.9851630926132202,-1.0,1.0,-1.0,-1.0,65.594482421875
66,1.0,-1.0,-1.0,-1.0,0.05882352963089943,0.28703704476356506,0.649898111820221,-1.0,0.990484356880188,-1.0,-1.0,-1.0,-1.0,0.03448275849223137,-1.0,0.9873804450035095,-1.0,1.0,-1.0,-1.0,62.60132598876953
67,1.0,-1.0,-1.0,-1.0,0.05263157933950424,0.5384615659713745,0.5883442163467407,-1.0,0.9763990640640259,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9726715087890625,-1.0,1.0,-1.0,-1.0,67.23135375976562
68,1.0,-1.0,-1.0,-1.0,0.0714285746216774,0.2844827473163605,0.698682427406311,-1.0,0.9840722680091858,-1.0,-1.0,-1.0,-1.0,0.04545454680919647,-1.0,0.9651385545730591,-1.0,1.0,-1.0,-1.0,63.1157341003418
69,1.0,-1.0,-1.0,-1.0,0.5,0.13703703880310059,0.5927048325538635,-1.0,0.9679877161979675,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,-1.0,0.9608907699584961,-1.0,1.0,-1.0,-1.0,66.56608581542969
70,1.0,-1.0,-1.0,-1.0,0.0833333358168602,0.21212121844291687,0.588690459728241,-1.0,0.9683008193969727,-1.0,-1.0,-1.0,-1.0,0.0833333358168602,-1.0,0.9695839881896973,-1.0,1.0,-1.0,-1.0,61.317039489746094
71,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.20512820780277252,0.5713203549385071,-1.0,0.987136721611023,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9554834365844727,-1.0,1.0,-1.0,-1.0,63.57169342041016
72,1.0,-1.0,-1.0,-1.0,1.0,0.5333333611488342,0.5881864428520203,-1.0,0.9774231910705566,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9715220332145691,-1.0,1.0,-1.0,-1.0,76.47604370117188
73,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.28333333134651184,0.7781357169151306,-1.0,0.9700703620910645,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.9750125408172607,-1.0,1.0,-1.0,-1.0,68.31106567382812
74,1.0,-1.0,-1.0,-1.0,1.0,0.5833333134651184,0.7074549198150635,-1.0,0.9933925271034241,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9764044880867004,-1.0,0.5,-1.0,-1.0,73.25731658935547
75,1.0,-1.0,-1.0,-1.0,0.1428571492433548,0.5357142686843872,0.7704110741615295,-1.0,0.9866960048675537,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.988703191280365,-1.0,1.0,-1.0,-1.0,68.49921417236328
76,1.0,-1.0,-1.0,-1.0,1.0,0.5344827771186829,0.7388482093811035,-1.0,0.9902514815330505,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,-1.0,0.9883589744567871,-1.0,1.0,-1.0,-1.0,80.23259735107422
77,1.0,-1.0,-1.0,-1.0,1.0,0.5370370149612427,0.5499066114425659,-1.0,0.98475581407547,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9651822447776794,-1.0,1.0,-1.0,-1.0,79.62769317626953
78,1.0,-1.0,-1.0,-1.0,0.20000000298023224,0.5357142686843872,0.6837440133094788,-1.0,0.9703199863433838,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9821833372116089,-1.0,1.0,-1.0,-1.0,68.0423812866211
79,1.0,-1.0,-1.0,-1.0,0.5,0.28999999165534973,0.6991021037101746,-1.0,0.9930034875869751,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9681171178817749,-1.0,1.0,-1.0,-1.0,68.5444564819336
80,1.0,-1.0,-1.0,-1.0,1.0,0.2884615361690521,0.6129065752029419,-1.0,0.9779369831085205,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9571303725242615,-1.0,1.0,-1.0,-1.0,79.2054443359375
81,1.0,-1.0,-1.0,-1.0,0.06666667014360428,0.5476190447807312,0.45219817757606506,-1.0,0.9820395708084106,-1.0,-1.0,-1.0,-1.0,0.1111111119389534,-1.0,0.9706622362136841,-1.0,1.0,-1.0,-1.0,64.12870788574219
82,1.0,-1.0,-1.0,-1.0,0.0555555559694767,0.2857142984867096,0.5586333870887756,-1.0,0.9903618693351746,-1.0,-1.0,-1.0,-1.0,0.03448275849223137,-1.0,0.9537583589553833,-1.0,1.0,-1.0,-1.0,60.981327056884766
83,1.0,-1.0,-1.0,-1.0,1.0,0.5454545617103577,0.4929732084274292,-1.0,0.9828776717185974,-1.0,-1.0,-1.0,-1.0,0.1111111119389534,-1.0,0.9743319153785706,-1.0,1.0,-1.0,-1.0,76.33435821533203
84,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.5416666865348816,0.7499430179595947,-1.0,0.9851630926132202,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9711335897445679,-1.0,1.0,-1.0,-1.0,70.18215942382812
85,1.0,-1.0,-1.0,-1.0,1.0,0.5400000214576721,0.44598764181137085,-1.0,0.9817066788673401,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9501972198486328,-1.0,1.0,-1.0,-1.0,76.47364044189453
86,1.0,-1.0,-1.0,-1.0,0.07692307978868484,0.2884615361690521,0.5708093047142029,-1.0,0.9926324486732483,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9672702550888062,-1.0,1.0,-1.0,-1.0,61.61787414550781
87,0.3333333432674408,-1.0,-1.0,-1.0,1.0,0.8333333134651184,0.6764862537384033,-1.0,0.9939551949501038,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9834330677986145,-1.0,1.0,-1.0,-1.0,74.54248046875
88,1.0,-1.0,-1.0,-1.0,1.0,0.24358974397182465,0.723716139793396,-1.0,0.9942349791526794,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.961133599281311,-1.0,1.0,-1.0,-1.0,77.1584243774414
89,0.5,-1.0,-1.0,-1.0,1.0,0.30882352590560913,0.7138972878456116,-1.0,0.9826675057411194,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9621210098266602,-1.0,1.0,-1.0,-1.0,74.59386444091797
90,1.0,-1.0,-1.0,-1.0,1.0,0.550000011920929,0.6250841617584229,-1.0,0.9822162985801697,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9758005738258362,-1.0,1.0,-1.0,-1.0,77.08042907714844
91,1.0,-1.0,-1.0,-1.0,0.5,0.10846561193466187,0.6058729887008667,-1.0,0.9807722568511963,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9897286891937256,-1.0,1.0,-1.0,-1.0,66.59620666503906
92,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.2954545319080353,0.6856753826141357,-1.0,0.9918540716171265,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9591729640960693,-1.0,1.0,-1.0,-1.0,66.71148681640625
93,1.0,-1.0,-1.0,-1.0,1.0,0.5416666865348816,0.8232702612876892,-1.0,0.9807353019714355,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9782623052597046,-1.0,1.0,-1.0,-1.0,79.64442443847656
94,1.0,-1.0,-1.0,-1.0,1.0,0.5666666626930237,0.637547492980957,-1.0,0.989211916923523,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9764044880867004,-1.0,1.0,-1.0,-1.0,77.53955078125
95,1.0,-1.0,-1.0,-1.0,0.1666666716337204,0.5400000214576721,0.5352910161018372,-1.0,0.9888817667961121,-1.0,-1.0,-1.0,-1.0,0.06666667014360428,-1.0,0.9698570370674133,-1.0,1.0,-1.0,-1.0,65.842041015625
96,1.0,-1.0,-1.0,-1.0,1.0,0.5370370149612427,0.5574753880500793,-1.0,0.979297935962677,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9530209302902222,-1.0,0.5,-1.0,-1.0,73.25205993652344
97,1.0,-1.0,-1.0,-1.0,1.0,0.28703704476356506,0.6381341218948364,-1.0,0.9762138724327087,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.979202389717102,-1.0,1.0,-1.0,-1.0,73.9703140258789
98,1.0,-1.0,-1.0,-1.0,0.5,0.30263158679008484,0.5712480545043945,-1.0,0.9722781777381897,-1.0,-1.0,-1.0,-1.0,0.0833333358168602,-1.0,0.9592589139938354,-1.0,1.0,-1.0,-1.0,67.359375
99,1.0,-1.0,-1.0,-1.0,1.0,0.2884615361690521,0.6354497075080872,-1.0,0.9767879247665405,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9500100612640381,-1.0,1.0,-1.0,-1.0,74.02671813964844
100,1.0,-1.0,-1.0,-1.0,1.0,0.30000001192092896,0.6358880400657654,-1.0,0.981436014175415,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9682690501213074,-1.0,1.0,-1.0,-1.0,76.69490814208984
101,1.0,-1.0,-1.0,-1.0,0.5,0.5833333134651184,0.7031328082084656,-1.0,0.9903618693351746,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.9637084603309631,-1.0,1.0,-1.0,-1.0,73.31920623779297
102,1.0,-1.0,-1.0,-1.0,0.20000000298023224,0.3214285671710968,0.745269775390625,-1.0,0.987136721611023,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9726086854934692,-1.0,0.5,-1.0,-1.0,59.67578887939453
103,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.0565476194024086,0.5340353846549988,-1.0,0.9511578679084778,-1.0,-1.0,-1.0,-1.0,0.05000000074505806,-1.0,0.9787555932998657,-1.0,1.0,-1.0,-1.0,61.29787063598633
